,Date,Crop_Type,Soil_Type,Soil_pH,Temperature,Humidity,Wind_Speed,N,P,K,Crop_Yield,Soil_Quality
count,3652,3652,3652,3652.0,3652.0,3652.0,3652.0,3652.0,3652.0,3652.0,3652.0,3652.0
unique,,1,5,,,,,,,,,
top,,rice,clay,,,,,,,,,
freq,,3652,768,,,,,,,,,
mean,2018-12-31 12:00:00,,,6.494592004381161,23.78131949701246,74.30669172558629,10.032299046903582,77.86473165388828,59.87513691128149,43.8855421686747,28.678204053901197,42.14327765607886
min,2014-01-01 00:00:00,,,5.5,-2.266770415938833,54.36313019134808,1.912466358837995,65.0,48.0,33.0,0.0,16.666666666666668
25%,2016-07-01 18:00:00,,,6.25,17.23132466171216,69.79402160084155,7.981693378978314,71.5,54.0,38.5,0.0,27.33333333333333
50%,2018-12-31 12:00:00,,,6.5,22.890080610059037,77.10991938994096,9.979411835504552,78.0,60.0,44.0,23.332898398697672,42.58333333333333
75%,2021-07-01 06:00:00,,,6.75,30.20597839915846,80.0,12.038370116150446,84.5,66.0,49.50000000000001,50.12579718240879,53.08333333333333
max,2023-12-31 00:00:00,,,7.5,49.88405752986646,80.0,18.11555446165147,91.0,72.0,55.00000000000001,116.03932257132537,72.66666666666667
std,,,,0.6555403415790518,8.87716508776513,6.7142568005900225,2.9512742600153237,9.068445075833324,8.37087237769231,7.673299679551198,28.310443927399366,19.380111126368625
